date,name
05-11-2009,Guy Fawkes Day
30-11-2009,St Andrew's Day
25-12-2009,Christmas Day
26-12-2009,Boxing Day
01-01-2010,New Year's Day
02-01-2010,2nd January
14-02-2010,Valentine's Day
01-03-2010,St. David's Day
14-03-2010,Mother's day
17-03-2010,St Patrick's Day
02-04-2010,Good Friday
05-04-2010,Easter Monday
23-04-2010,St. George's Day
03-05-2010,Early May Bank Holiday (May Day)
31-05-2010,Late May Bank Holiday
20-06-2010,Father's Day
12-07-2010,Battle of the Boyne
02-08-2010,August Bank Holiday (Scotland)
30-08-2010,August Bank Holiday
31-10-2010,Halloween
05-11-2010,Guy Fawkes Day
30-11-2010,St Andrew's Day
25-12-2010,Christmas Day
26-12-2010,Boxing Day
27-12-2010,Substitute day for Christmas Day
28-12-2010,Substitute day for Boxing Day
02-01-2011,2nd January
03-01-2011,New Year's Day
14-02-2011,Valentine's Day
01-03-2011,St. David's Day
17-03-2011,St Patrick's Day
03-04-2011,Mother's day
22-04-2011,Good Friday
23-04-2011,St. George's Day
25-04-2011,Easter Monday
29-04-2011,The wedding of Prince William and Catherine Middleton
02-05-2011,Early May Bank Holiday (May Day)
30-05-2011,Late May Bank Holiday
19-06-2011,Father's Day
12-07-2011,Battle of the Boyne
01-08-2011,August Bank Holiday (Scotland)
29-08-2011,August Bank Holiday
31-10-2011,Halloween
05-11-2011,Guy Fawkes Day
30-11-2011,St Andrew's Day
25-12-2011,Christmas Day
26-12-2011,Boxing Day
27-12-2011,Substitute day for Christmas Day
