date,name
02-11-2009,Guy Fawkes Day
03-11-2009,Guy Fawkes Day
04-11-2009,Guy Fawkes Day
05-11-2009,Guy Fawkes Day
27-11-2009,St Andrew's Day
28-11-2009,St Andrew's Day
29-11-2009,St Andrew's Day
30-11-2009,St Andrew's Day
22-12-2009,Christmas Day
23-12-2009,Christmas Day
24-12-2009,Christmas Day
25-12-2009,Christmas Day
26-12-2009,Boxing Day
27-12-2009,Boxing Day
28-12-2009,Boxing Day
29-12-2009,Boxing Day
30-12-2009,Boxing Day
01-01-2010,New Year's Day
02-01-2010,2nd January
11-02-2010,Valentine's Day
12-02-2010,Valentine's Day
13-02-2010,Valentine's Day
14-02-2010,Valentine's Day
26-02-2010,St. David's Day
27-02-2010,St. David's Day
28-02-2010,St. David's Day
01-03-2010,St. David's Day
11-03-2010,Mother's day
12-03-2010,Mother's day
13-03-2010,Mother's day
14-03-2010,Mother's day
15-03-2010,St Patrick's Day
16-03-2010,St Patrick's Day
17-03-2010,St Patrick's Day
01-04-2010,Good Friday
02-04-2010,Good Friday
02-04-2010,Easter Monday
03-04-2010,Easter Monday
04-04-2010,Easter Monday
05-04-2010,Easter Monday
20-04-2010,St. George's Day
21-04-2010,St. George's Day
22-04-2010,St. George's Day
23-04-2010,St. George's Day
01-05-2010,Early May Bank Holiday (May Day)
02-05-2010,Early May Bank Holiday (May Day)
03-05-2010,Early May Bank Holiday (May Day)
28-05-2010,Late May Bank Holiday
29-05-2010,Late May Bank Holiday
30-05-2010,Late May Bank Holiday
16-05-2010,Late May Bank Holiday
17-06-2010,Father's Day
18-06-2010,Father's Day
19-06-2010,Father's Day
20-06-2010,Father's Day
09-07-2010,Battle of the Boyne
10-07-2010,Battle of the Boyne
11-07-2010,Battle of the Boyne
12-07-2010,Battle of the Boyne
02-08-2010,August Bank Holiday (Scotland)
27-08-2010,August Bank Holiday
28-08-2010,August Bank Holiday
29-08-2010,August Bank Holiday
30-08-2010,August Bank Holiday
28-10-2010,Halloween
29-10-2010,Halloween
30-10-2010,Halloween
31-10-2010,Halloween
02-11-2010,Guy Fawkes Day
03-11-2010,Guy Fawkes Day
04-11-2010,Guy Fawkes Day
05-11-2010,Guy Fawkes Day
27-11-2010,St Andrew's Day
28-11-2010,St Andrew's Day
29-11-2010,St Andrew's Day
30-11-2010,St Andrew's Day
22-12-2010,Christmas Day
23-12-2010,Christmas Day
24-12-2010,Christmas Day
25-12-2010,Christmas Day
26-12-2010,Boxing Day
27-12-2010,Substitute day for Christmas Day
28-12-2010,Substitute day for Boxing Day
29-12-2010,Substitute day for Boxing Day
30-12-2010,Substitute day for Boxing Day
01-01-2011,2nd January
02-01-2011,2nd January
03-01-2011,New Year's Day
11-02-2011,Valentine's Day
12-02-2011,Valentine's Day
13-02-2011,Valentine's Day
14-02-2011,Valentine's Day
25-02-2011,St. David's Day
26-02-2011,St. David's Day
27-02-2011,St. David's Day
01-03-2011,St. David's Day
14-03-2011,St Patrick's Day
15-03-2011,St Patrick's Day
16-03-2011,St Patrick's Day
17-03-2011,St Patrick's Day
01-04-2011,Mother's day
02-04-2011,Mother's day
03-04-2011,Mother's day
19-04-2011,Good Friday
20-04-2011,Good Friday
21-04-2011,Good Friday
22-04-2011,Good Friday
20-04-2011,St. George's Day
21-04-2011,St. George's Day
22-04-2011,St. George's Day
23-04-2011,St. George's Day
24-04-2011,Easter Monday
25-04-2011,Easter Monday
27-04-2011,The wedding of Prince William and Catherine Middleton
28-04-2011,The wedding of Prince William and Catherine Middleton
29-04-2011,The wedding of Prince William and Catherine Middleton
01-05-2011,Early May Bank Holiday (May Day)
02-05-2011,Early May Bank Holiday (May Day)
27-05-2011,Late May Bank Holiday
28-05-2011,Late May Bank Holiday
29-05-2011,Late May Bank Holiday
30-05-2011,Late May Bank Holiday
16-06-2011,Father's Day
17-06-2011,Father's Day
18-06-2011,Father's Day
19-06-2011,Father's Day
09-07-2011,Battle of the Boyne
10-07-2011,Battle of the Boyne
11-07-2011,Battle of the Boyne
12-07-2011,Battle of the Boyne
01-08-2011,August Bank Holiday (Scotland)
26-08-2011,August Bank Holiday
27-08-2011,August Bank Holiday
28-08-2011,August Bank Holiday
29-08-2011,August Bank Holiday
28-10-2011,Halloween
29-10-2011,Halloween
30-10-2011,Halloween
31-10-2011,Halloween
02-11-2011,Guy Fawkes Day
03-11-2011,Guy Fawkes Day
04-11-2011,Guy Fawkes Day
05-11-2011,Guy Fawkes Day
30-11-2011,St Andrew's Day
22-12-2011,Christmas Day
23-12-2011,Christmas Day
24-12-2011,Christmas Day
25-12-2011,Christmas Day
26-12-2011,Boxing Day
27-12-2011,Substitute day for Christmas Day
